record_index,time_tag_seconds,record_time,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,network_id,data_type_id,downlink_band_id,uplink_band_id,ref_freq_band_id,data_validity,format_id,full_ref_freq,ref_freq_int,ref_freq_frac,item_15,item_17
6,2052248432,2015-01-12 21:00:32,97148.063781707,97148,63781707,15,15,0,37,2,2,2,0,2,7176272376.806,427739,2782182,14,1
127,2052249032,2015-01-12 21:10:32,806913.768194679,806913,768194679,15,15,0,37,2,2,2,0,2,7176273245.429,427739,3650805,14,1
248,2052249632,2015-01-12 21:20:32,624686.42417123,624686,424171230,15,15,0,37,2,2,2,0,2,7176274078.241,427739,4483617,14,1
369,2052250232,2015-01-12 21:30:32,592571.779953315,592571,779953315,15,15,0,37,2,2,2,0,2,7176274875.291,427739,5280667,14,1
490,2052250832,2015-01-12 21:40:32,704088.899076891,704088,899076891,15,15,0,37,2,2,2,0,2,7176275635.959,427739,6041335,14,1
611,2052251432,2015-01-12 21:50:32,952677.213896184,952677,213896184,15,15,0,37,2,2,2,0,2,7176276358.729,427739,6764105,14,1
732,2052252032,2015-01-12 22:00:32,283004.840390643,283004,840390643,15,15,0,37,2,2,2,0,2,7176277041.304,427739,7446680,14,1
853,2052252632,2015-01-12 22:10:32,784989.706179398,784989,706179398,15,15,0,37,2,2,2,0,2,7176277680.639,427739,8086015,14,1
974,2052253232,2015-01-12 22:20:32,353690.846857923,353690,846857923,15,15,0,37,2,2,2,0,2,7176278269.503,427739,8674879,14,1
1095,2052253832,2015-01-12 22:30:32,28895.524023047,28895,524023047,15,15,0,37,2,2,2,0,2,7176278797.502,427739,9202878,14,1
1216,2052254432,2015-01-12 22:40:32,849331.696782249,849331,696782249,15,15,0,37,2,2,2,0,2,7176279263.055,427739,9668431,14,1
1337,2052255032,2015-01-12 22:50:32,706120.427374839,706120,427374839,15,15,0,37,2,2,2,0,2,7176279640.933,427739,10046309,14,1
2255,2052300655,2015-01-13 11:30:55,879968.46800087,879968,468000870,54,54,0,37,2,2,2,0,2,7176241787.562,427737,5747370,14,1
2376,2052301255,2015-01-13 11:40:55,301447.390849611,301447,390849611,54,54,0,37,2,2,2,0,2,7176243361.447,427737,7321255,14,1
2497,2052301855,2015-01-13 11:50:55,11990.963493555,11990,963493555,54,54,0,37,2,2,2,0,2,7176244827.352,427737,8787160,14,1
2618,2052302455,2015-01-13 12:00:55,1039429.820140588,1039429,820140588,54,54,0,37,2,2,2,0,2,7176246203.974,427737,10163782,14,1
2739,2052303055,2015-01-13 12:10:55,220485.295449308,220485,295449308,54,54,0,37,2,2,2,0,2,7176247495.229,427737,11455037,14,1
2860,2052303655,2015-01-13 12:20:55,685775.811041436,685775,811041436,54,54,0,37,2,2,2,0,2,7176248723.296,427737,12683104,14,1
2981,2052304255,2015-01-13 12:30:55,325106.831780625,325106,831780625,54,54,0,37,2,2,2,0,2,7176249884.026,427737,13843834,14,1
3102,2052304855,2015-01-13 12:40:55,175505.360555732,175505,360555732,54,54,0,37,2,2,2,0,2,7176250993.836,427737,14953644,14,1
3223,2052305455,2015-01-13 12:50:55,226849.743717323,226849,743717323,54,54,0,37,2,2,2,0,2,7176252056.328,427737,16016136,14,1
3344,2052306055,2015-01-13 13:00:55,469944.99572211,469944,995722110,54,54,0,37,2,2,2,0,2,7176253072.617,427738,255209,14,1
3465,2052306655,2015-01-13 13:10:55,896475.0832084,896475,83208400,54,54,0,37,2,2,2,0,2,7176254045.571,427738,1228163,14,1
3586,2052307255,2015-01-13 13:20:55,450227.113823409,450227,113823409,54,54,0,37,2,2,2,0,2,7176254980.402,427738,2162994,14,1
3707,2052307855,2015-01-13 13:30:55,172578.110624571,172578,110624571,54,54,0,37,2,2,2,0,2,7176255878.686,427738,3061278,14,1
3828,2052308455,2015-01-13 13:40:55,56756.880455649,56756,880455649,54,54,0,37,2,2,2,0,2,7176256741.318,427738,3923910,14,1
3949,2052309055,2015-01-13 13:50:55,96241.539568683,96241,539568683,54,54,0,37,2,2,2,0,2,7176257568.793,427738,4751385,14,1
4070,2052309655,2015-01-13 14:00:55,284559.374297011,284559,374297011,54,54,0,37,2,2,2,0,2,7176258360.604,427738,5543196,14,1
4191,2052310255,2015-01-13 14:10:55,615302.196695785,615302,196695785,54,54,0,37,2,2,2,0,2,7176259115.907,427738,6298499,14,1
4991,2052330070,2015-01-13 19:41:10,241579.14028589,241579,140285890,25,25,0,37,2,2,2,0,2,7176234622.049,427736,15359073,14,1
5112,2052330670,2015-01-13 19:51:10,493707.552668889,493707,552668889,25,25,0,37,2,2,2,0,2,7176236303.154,427737,262962,14,1
5233,2052331270,2015-01-13 20:01:10,5357.183365076,5357,183365076,25,25,0,37,2,2,2,0,2,7176237867.592,427737,1827400,14,1
5354,2052331870,2015-01-13 20:11:10,851567.436851289,851567,436851289,25,25,0,37,2,2,2,0,2,7176239334.395,427737,3294203,14,1
5475,2052332470,2015-01-13 20:21:10,916260.111304675,916260,111304675,25,25,0,37,2,2,2,0,2,7176240717.338,427737,4677146,14,1
5596,2052333070,2015-01-13 20:31:10,183415.838488535,183415,838488535,25,25,0,37,2,2,2,0,2,7176242021.352,427737,5981160,14,1
5717,2052333670,2015-01-13 20:41:10,735964.995928418,735964,995928418,25,25,0,37,2,2,2,0,2,7176243263.208,427737,7223016,14,1
5838,2052334270,2015-01-13 20:51:10,464558.160236187,464558,160236187,25,25,0,37,2,2,2,0,2,7176244445.474,427737,8405282,14,1
